"VARIABLE TYPE","VARIABLE ABBREV","VARIABLE LABEL","VARIABLE NAME","VARIABLE DATA TYPE","VARIABLE ONTOLOGY ID","PROPERTY","PROPERTY ONTOLOGY ID","METHOD","FORMULA","METHOD ONTOLOGY ID","UNIT","SCALE ONTOLOGY ID","SCALE VALUE LIST","B4R VARIABLE ID","B4R RECORD COUNT"
"observation","HT6_CONT","Ht6","Plant height of sample 6","float","","Plant height","CO_320:0000076","For plant sample 6 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","HT6_CONT = PNL6_CONT + CML6_CONT","","cm","CO_320:0000480","","586","3091"
"observation","GRNWT_BM_CONT","GRNWT_BM_G","Grain weight from BIOMASS samples","float","","Grain yield 2","","Grain weight of biomass samples per plot","","","grams","","","404","3070"
"observation","TOTBM_CONT","TOTAL BM","Total biomass","integer","","yield (biomass)","CO_320:0000089","Computed as TOTBM_CONT = GRNWT_CONT + STRWWT_CONT","TOTBM_CONT = GRNWT_BM_CONT + STRWWT_CONT","","grams","","","406","3045"
"observation","SHB_SCOR_0_9","ShB 0-9","Sheath blight","integer","CO_320:0000189","Sheath blight","CO_320:0000189","The relative lesion height is the average vertical height of the uppermost lesion on leaf or sheath expressed as a percentage of the average plant height.
At growth stages: 7-8","","CO_320:0000354","","CO_320:0000355","0: No infection observed; 1: Lesions limited to lower 20% of the plant height; 3: 20-30%; 5: 31-45%; 7: 46-65%; 9: More than 65%","257","2953"
"observation","FIRSTEMERGENCE_DATE_CONT","FIRSTEMERGENCE_DATE","First Emergence","date","","EMERGENCE","","","","","","","","1493","2941"
"observation","FULLEMERGENCE_DATE_CONT","FULLEMERGENCE_DATE","First Emergence Date","date","","EMERGENCE","","Observe the the seeds in the field when it has fully emerged.  Record the Date","","","","","","1494","2929"
"observation","AG_SCOR_1_9","AG 1-9","Anaerobic germination","integer","","Anaerobic germination","","Germination ability of breeding lines after flooding of up to 21 days","","","","","1: 90 to 100% germination ; 3: 75 - 89%; 5: 50-74%; 7: 25-49%; 9: 0-24%","692","2895"
"observation","PANNO4_CONT","PANNO4","Number of panicle for sample 4","integer","","Number of panicles","CO_320:0000009","For plant sample 4 - Count the number of panicles.","","","count","","","658","2806"
"observation","ELON2_2ND_CONT","ELON2_2ND","Leaf Elongation of Plant 2 at 2nd week of readings","float","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 2 at 2nd week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.​","","","cm","","","1740","2801"
"observation","ELON1_2ND_CONT","ELON1_2ND","Leaf Elongation of Plant 1 at 2nd week of readings","float","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 1 at 2nd week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.​","","","cm","","","1739","2801"
"observation","ELON3_2ND_CONT","ELON3_2ND","Leaf Elongation of Plant 3 at 2nd week of readings","float","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 3 at 2nd week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.​","","","cm","","","1741","2800"
"observation","BLS_SCOR_0_9","BLS 0-9","Bacterial leaf streak","integer","CO_320:0000174","bacterial leaf streak","CO_320:0000174","At growth stage: 3-6
Linear lesions with small bacterial exudates","","","","","0: No lesions observed; 1: Small brown specks of pinpoint size or large brown specks without sporulating center; 3: Lesion type is the same as in scale 2, but a significant number of lesions are on the upper leaves; 5: Typical blast lesions infecting 4-10% of the leaf area; 7: Typical blast lesions infection 26-50% of the leaf area; 9: More than 75% leaf area affected","28","2790"
"observation","TOTILL_CONT","TOTTILLER","total tiller","integer","","Number of tillers","","Record the total number of tiller","","","","","","431","2658"
"observation","GRNYLD_P2_CONT","GRNWT_P2_G","Grain Weight Of 2nd Plant In Grams","float","","grain weight","CO_320:0000100","Grains from a single plant are weighed. Measured in grams.","","","grams","","","1441","2631"
"observation","ELON2_8TH_CONT","ELON2_8TH","eaf Elongation of Plant 2 at 8th week of readings","integer","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 2 at 8th week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.","","","","","","1962","2610"
"observation","ELON3_8TH_CONT","ELON3_8TH","	Leaf Elongation of Plant 3 at 8th week of readings","integer","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 3 at 8th week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.","","","","","","1963","2607"
"observation","ELON1_10TH_CONT","ELON1_10TH","	Leaf Elongation of Plant 1 at 10th week of readings","integer","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 1 at 10th week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.","","","","","","1964","2606"
"observation","ELON2_10TH_CONT","ELON2_10TH","Leaf Elongation of Plant 2 at 10th week of readings","integer","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 2 at 10th week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.","","","","","","1965","2603"
"observation","ELON3_10TH_CONT","ELON3_10TH","Leaf Elongation of Plant 3 at 10th week of readings","integer","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 3 at 10th week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.","","","","","","1966","2590"
"observation","BACTERIAL_LEAF_BLIGHT","BLB","bacterial leaf blight","integer","CO_320:0000173","bacterial leaf blight","CO_320:0000173"," ","","CO_320:0000348","","CO_320:0000349","","25","2565"
"observation","PANNO5_CONT","PANNO5","Number of panicle for sample 5","integer","","Number of panicles","CO_320:0000009","For plant sample 5 - Count the number of panicles.","","","count","","","659","2552"
"observation","ZDEF_FLD_SCOR6_1_9","ZDef_6WAT FLD 1-9","ZnDef_6WAT","integer","","Zinc Deficiency","CO_320:0000069","At 6 weeks after transplanting
","","","","","1: Growth and tillering nearly normal, healthy; 2: Growth and tillering nearly normal, basal leaves slightly discolored; 3: Stunting slight, tillering decreased, some basal leaves brown or yellow	 ; 5: 	Growth and tillering severely retarded, about half of all leaves brown or yellow; 7: Growth and tillering ceases, most leaves brown or yellow; 9: Almost all plants dead or dying","1888","2536"
"observation","DRYWT_3HILL","HI Total Dry Biomass","SF GWAS Harvest Index 1","integer","","harvest index","","Random harvest of 3hills. Cut the plants as close to the grounds. Oven dry for 2-3 days at 70C","","","","","","1994","2506"
"observation","PANNO_3HILL","YC Number of Panicles","SF GWAS Component 1","integer","","Number of panicles","CO_320:0000009","Harvest and combined 3 hill samples. Count and record the total number of panicles. ","","","","","","1991","2501"
"observation","GRNWT_FILL_3HILL","YC Filled Grain Weight","SF GWAS Component 2","integer","","grain weight","CO_320:0000100","Harvest and combined 3 hill samples. Weigh and record combined weight of filled grains. ","","","","","","1992","2498"
"observation","HT10_CONT","HT10","Plant Height of Sample 10","float","","Plant Height","","For plant sample 10 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","","","cm","","","1431","2463"
"observation","HT7_CONT","HT7","Plant Height of Sample 7","float","","Plant Height","","For plant sample 7 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","","","cm","","","1428","2458"
"observation","MC_3HILL","YC Moisture Content","SF GWAS Component 4","float","","moisture content","","Harvest and combined 3 hill samples. Record the MC of threshed samples from 3 hills","","","","","","1996","2457"
"observation","FGLW_CONT_CM","FGLW AVE","Average Flag Leaf Width of the plant samples","float","CO_320:0000137","Flag Leaf Width","CO_320:0000137","Measure width at the widest portion of the flag leaf on five representative plants. Calculate average to nearest cm. Stage: 7 days after anthesis.","FGLW_CONT_CM = AVE(FGLW<OBSN>_CONT_CM)","","cm","","","1200","2433"
"observation","TILL_3HILL","YC Number of Tillers","SF GWAS Component 3","integer","","Number of tillers","","Harvest and combined 3 hill samples. Count and record the total number of tillers
","","","","","","1993","2296"
"observation","TILL6_CONT","TILL6","Number Of Tillers 6","integer","","Number of tillers","","Record the number of tillers from plant sample 6","","CO_320:0000314","","","","292","2269"
"observation","TILL10_CONT","TILL10","Number Of Tillers 10","integer","","Number of tillers","","Record the number of tillers from plant sample 10","","","","","","1141","2240"
"observation","SELECTION_TYPE","SELECTION TYPE","selection type","character varying","","PLANT SELECTION","","Type of selection used for generation advancement .B for bulk; P for plant selection;indicate number of plants for P (eg.P=3)","","","","","","644","2224"
"observation","BPH_GH_SCOR_SEGRE","BPH_GH_SEGRE","BPH scores for 1 row of an entry line with two distinct readings	","character varying","","Brown planthopper","CO_320:0000196","At a greenhouse environment, record the observed infection.","","","","","1/3: Very slight injury/ First and 2nd leaves of most plants partially yellowing; 1/5: Very slight injury/ Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying; 1/7: Very slight injury/ More than half of the plants wilting or dead; 1/9: Very slight injury/ All plants dead; 3/5: First and 2nd leaves of most plants partially yellowing/ Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying; 3/7: First and 2nd leaves of most plants partially yellowing/ More than half of the plants wilting or dead; 3/9: First and 2nd leaves of most plants partially yellowing/ All plants dead; 5/7: Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying/ More than half of the plants wilting or dead; 5/9: Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying/	All plants dead; 7/9: More than half of the plants wilting or dead/ All plants dead","1660","2207"
"observation","ADJAYLD_G_CONT2","Corrected AYLD(G)","Corrected PlotYield in grams","float","","Grain yield 2","","computed as ADJAYLD_G_CONT2 = (AYLD_CONT / HVHILL_CONT) * TOTAL_HILL_CONT","","","grams","","","1889","2176"
"observation","YLD_CONT3","YLD_CONT3","Grain yield in kg/ha using corrected plot yield","float","","Grain yield","CO_320:0000073","The grain yield, measured in kilograms per hectare at 14 percent moisture using corrected plot yield","","","Kg/ha","","","1944","2176"
"observation","ADJAYLD_G_CONT3","Corrected AYLD(G)_MC","Corrected Plot Yield in grams adjusted to 14%MC","float","","Grain yield","CO_320:0000073","computed as ADJAYLD_G_CONT3 = AYLD_G_CONT2 *((100-MC_CONT)/86)","","","grams","","","1890","2176"
"observation","FGLL_CONT_CM","FGLL AVE","Average of measured Flag Leaf Length","float","CO_320:0000138","flag leaf length","CO_320:0000138","average of the measure length of the flag leaf","FGLL_CONT_CM = AVE(FGLL<OBSN>_CONT_CM)","","cm","","","1204","2137"
"observation","GLH_SCOR_SEGRE","GLH_SEGRE","GLH scores for 1 row of an entry line with two distinct readings","character varying","","Green leafhopper","CO_320:0000200","At a greenhouse environment, record the observed infection.","","","","","1/3: Very slight injury/ First and 2nd leaves of most plants partially yellowing.; 1/5: Very slight injury/ Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying.; 1/7: Very slight injury/ More than half of the plants wilting or dead; 1/9: Very slight injury/ All plants dead; 3/5: First and 2nd leaves of most plants partially yellowing/ Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying; 3/7: First and 2nd leaves of most plants partially yellowing/ More than half of the plants wilting or dead; 3/9: First and 2nd leaves of most plants partially yellowing/ All plants dead; 5/7: Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying/ More than half of the plants wilting or dead; 5/9: Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying/	All plants dead; 7/9: More than half of the plants wilting or dead/ All plants dead","1659","2097"
"observation","HT8_CONT","HT8","Plant Height of Sample 8","float","","Plant Height","","For plant sample 8 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","","","cm","","","1429","2088"
"observation","HT9_CONT","HT9","Plant Height of Sample 9","float","","Plant Height",""," For plant sample 9 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","","","cm","","","1430","2088"
"observation","TOTAL_PLANT_TESTED","Total number of plants tested per plot","Total number of plants tested per plot","integer","","Number of plants tested per plot","","Input the total number of plants tested per plot","TOTAL_PLANT_TESTED = PLANT_TESTED_SCORE1 + PLANT_TESTED_SCORE3 + PLANT_TESTED_SCORE5 + PLANT_TESTED_SCORE7 + PLANT_TESTED_SCORE9","","","","","1759","2083"
"observation","PLANT_TESTED_SCORE5","Number of plants tested per plot with score 5","Number of plants tested per plot with score 5","integer","","Number of plants tested per plot","","Count and record the number of plants tested per plot for RTD","","","","","","1762","2083"
"observation","PLANT_TESTED_SCORE9","Number of plants tested per plot with score 9","Number of plants tested per plot with score 9","integer","","Number of plants tested per plot","","Count and record the number of plants selected per plot for RTD","","","","","","1764","2083"
"observation","PLANT_TESTED_SCORE7","Number of plants tested per plot with score 7","Number of plants tested per plot with score 7","integer","","Number of plants tested per plot","","Count and record the number of plants selected per plot for RTD","","","","","","1763","2083"
"observation","PLANT_TESTED_SCORE3","Number of plants tested per plot with score 3","Number of plants tested per plot with score 3","integer","","Number of plants tested per plot","","Count and record the number of plants tested per plot for RTD","","","","","","1761","2083"
"observation","PLANT_TESTED_SCORE1","Number of plants tested per plot with score 1","Number of plants tested per plot with score 1","integer","","Number of plants tested per plot","","Count and record the number of plants tested per plot for RTD","","","","","","1760","2083"
"observation","AYLD_KG_CONT_ADJ_MEAN","AYLD_KG_CONT_ADJ_MEAN","Actual grain yield in kg per plot","float","","Grain yield 2","","Predicted Mean","","","kg per plot","","","1592","2042"
"observation","TILL7_CONT","TILL7","Number Of Tillers 7","integer","","Number of tillers","","Record the number of tillers from plant sample 7","","","","","","1138","2007"
"observation","CML4_CONT","CL4","Culm length plant 4","integer","","culm length","CO_320:0000030","For plant sample 4, Measure from soil surface to panicle base in centimeters.","","","cm","","","678","2007"
"observation","CML5_CONT","CL5","Culm length plant 5","integer","","culm length","CO_320:0000030","For plant sample 5, Measure from soil surface to panicle base in centimeters.","","","cm","","","679","1996"
"observation","HT1_7DAS_CONT","Ht1 (7DAS)","Plant height of sample 1 in mm at 7DAS","integer","","Plant height","CO_320:0000076","Measured from soil surface to tip of the tallest leaf blade at 7 days after submergence (7DAS), to nearest mm.
Growth stage:Seedling stage","","","mm","","","2071","1905"
"observation","HT_CAT","HT","Plant Height","character varying","","Plant height","CO_320:0000076","Field note observations made by breeder or scientists for OYT, PYT and AYT trials under IRSEA program","","","","","VT: Very tall; T: Tall; M: Medium; Sh: Short; VSh: Very short","1569","1904"
"observation","HT2_7DAS_CONT","Ht2 (7DAS)","Plant height of sample 2 in mm at 7DAS","integer","","Plant height","CO_320:0000076","Measured from soil surface to tip of the tallest leaf blade at 7 days after submergence (7DAS), to nearest mm. Growth stage:Seedling stage","","","mm","","","2072","1892"
"observation","HT3_7DAS_CONT","Ht3 (7DAS)","Plant height of sample 3 in mm at 7DAS","integer","","Plant height","CO_320:0000076","Measured from soil surface to tip of the tallest leaf blade at 7 days after submergence (7DAS), to nearest mm.
Growth stage:Seedling stage","","","mm","","","2073","1875"
"observation","TILL8_CONT","TILL8","Number Of Tillers 8","integer","","Number of tillers","","Record the number of tillers from plant sample 8","","","","","","1139","1830"
"observation","TILL9_CONT","TILL9","Number Of Tillers 9","integer","","Number of tillers","","Record the number of tillers from plant sample 9","","","","","","1140","1830"
"observation","ELON1_8TH_CONT","ELON1_8TH","Leaf Elongation of Plant 1 at 8th week of readings","integer","","Elongation","CO_320:0000061","Plant elongation rate can be measured by recording the plant height of plant sample 1 at 8th week DAT (Days after transplanting. Start of recording the initial week varies). Keeping 7 days interval between each set of readings.​","","","","","","1961","1799"
"observation","YLD_FILLED_CONT","GRNWT FILLED","GRNWT_FILLED","float","","Grain yield 2","","Grain weight of filled grains in grams","","","","","","742","1669"
"observation","FETOX_FLD_SCOR5_1_9","FeTox5 FLD 1-9","Iron toxicity - MAT","integer","","Iron toxicity","CO_320:0000063","At growth stages: 7-9","","","","","1: Growth and tillering nearly normal; 2: Growth and tillering nearly normal; reddish-brown spots or orange discoloration on tips of older leaves; 3: Growth and tillering nearly normal; older leaves reddish brown, purple, or orange yellow; 5: Growth and tillering retarded; many leaves discolored; 7: Growth and tillering ceases; most leaves discolored or dead; 9: Almost all plants dead or dying","739","1661"
"observation","FETOX_FLD_SCOR4_1_9","FeTox4 FLD 1-9","Iron toxicity - FLW","integer","","Iron toxicity","CO_320:0000063","At growth stages: 5-6","","","","","1: Growth and tillering nearly normal; 2: Growth and tillering nearly normal; reddish-brown spots or orange discoloration on tips of older leaves; 3: Growth and tillering nearly normal; older leaves reddish brown, purple, or orange yellow; 5: Growth and tillering retarded; many leaves discolored; 7: Growth and tillering ceases; most leaves discolored or dead; 9: Almost all plants dead or dying","740","1661"
"observation","HI_CONT","HI","harvest index","float","","harvest index","","At harvest computed as HI = GRNWT / TOTBM","HI_CONT = GRNWT_BM_CONT / TOTBM_CONT","","","","","407","1660"
"observation","GRNWT_1000_CONT2","1000GW","1000 grain weight","float","","grain weight","CO_320:0000100","Enter measurements in grams of 1000 well-developed whole grains, dried to 14% moisture content, weighed on a precision balance.","","","","","","2010","1600"
"observation","GRNYLD_P3_CONT","GRNWT_P3_G","Grain Weight Of 3rd Plant In Grams","float","","grain weight","CO_320:0000100","Grains from a single plant are weighed. Measured in grams.","","","grams","","","1442","1544"
"observation","YSB_SCORE_0_9","YSB 0-9","Yellow Stemborer","integer","","Yellow Stemborrer","","SES score 0-9","","","","","0: No injury; 1: 1-10%; 3: 11-20%; 5: 21-30%; 7: 31-60%; 9: 61 and above","587","1541"
"observation","YLD_UNFILLED_CONT","GRNWT UNFILLED GRAINS","GRNWT UNFILLED","float","","Grain yield 2","","Grain weight of unfilled grains in grams","","","grams","","","743","1531"
"observation","GRL_SES_CONT_MM","GrL","grain length","float","","Grain length","CO_320:0000004","Enter the mean length in millimeters as the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea. In the case of awned varieties, the grain is measured to a point comparable to the tip of the apiculus. [SES:121]\n\nAt Growth Stage 9 (Mature Grain)","","CO_320:0000459","mm","CO_320:0000460","","128","1497"
"observation","DRS_SCOR2_0_9","DRS2 0-9","DRS - Leaf Drying at Vegetative Stage","integer","CO_320:0000060","Drought Sensitivity","CO_320:0000060","Repeated ratings  on drought sensitivity by leaf drying through progress of drought. ","","CO_320:0000402","","CO_320:0000403","0: No symptoms; 1: Slight tip drying; 3: Tip drying extended up to 1/4 length in most leaves; 5: One-fourth to 1/2 of all leaves dried; 7: More than 2/3 of all leaves fully dried; 9: All plants apparently dead","96","1462"
"observation","DISEASE_INDEX","Disease Index Greenhouse Testing","Disease Index Greenhouse Testing","float","","Rice tungro disease","","Compute Disease Index (DI)","DISEASE_INDEX = ((3*PLANT_TESTED_SCORE3)+(5*PLANT_TESTED_SCORE5)+(7*PLANT_TESTED_SCORE7)+(9*PLANT_TESTED_SCORE9))/TOTAL_PLANT_TESTED::float","","","","","1765","1439"
"observation","SF_SURVIVAL","SF Survival%","SF Survival%","integer","","Stagnant flooding tolerant ","","Record in percentile the plants survived in a plot.","","","","","","1995","1432"
"observation","FLA_CONT_ADEG","FLA AVE","Average of Flag Leaf Angle","float","CO_320:0000017","flag leaf angle","CO_320:0000017","Average of the flag leaf Angle measurement","FLA_CONT_ADEG = AVE(FLA<OBSN>_CONT_ADEG)","","ARC DEGREE","","","1196","1431"
"observation","GRW_STDDEV_CONT","GRW STDDEV CONT","Standard deviation of grain width","float","","Grain width stddev","","Standard deviation of grain width","","","","","","1313","1409"
"observation","PBR_PERC","PBR PERC","Percent brown rice","float","","Percent Brown Rice","","Percent brown rice","","","","","","1317","1409"
"observation","TOT_GRN_CONT","TOT GRN CONT","Total Grain","integer","","Total grain","","Total number of non-waxy grains analysed for chalkiness and grain length & width","","","","","","1303","1409"
"observation","GRL_STDDEV_CONT","GRL STDDEV CONT","Standard deviation of grain length","float","","Grain length stddev","","Standard deviation of grain length","","","","","","1312","1409"
"observation","MPS_SCOR_1_3","MPS","Milling potential score","integer","","Milling potential score","","visual scoring","","","","","1: Mostly whole, translucent grain; 2: Few broken, chalky grain; 3: Mostly broken, chalky grain","713","1409"
"observation","GRW_CONT_MM","GrW MM","Grain width","float","","Grain width","CO_320:0000005","Measured as the distance across the fertile lemma and palea at the widest point. [SES4 and 5] 

Preferably, measure with calliper or photo-enlarger. Average of 10 representative grains. [RD:7.5.16]","","CO_320:0000306","mm","CO_320:0000307","","134","1409"
"observation","WPDY_CONT","WPDY CONT","Paddy Weight","float","","Paddy weight","","Weight (g) of paddy rice","","","","","","1315","1409"
"observation","WBR_CONT","WBR CONT","Brown Rice weight","float","","Brown Rice Weight","","Weight (g) of brown rice","","","","","","1316","1409"
"observation","AMY_CONT_PERC","Amy","Amylose content of the grain","float","CO_320:0000102","Amylose content of the grain","CO_320:0000102 ","Use standard laboratory procedure to determine amylose content. Give amylose content in actual percentage. 
[SES 5th ed:130","","CO_320:0000329","Percent","","","6","1409"
"observation","CLK_0_10_PERC","CLK 0-10 PERC","Percent grains with 0-10% chalkiness","float","","Chalkiness of the endosperm","CO_320:0000104","Percent grains with 0-10% chalky areas","","","","","","1307","1409"
"observation","CLK_10_25_PERC","CLK 10-25 PERC","Percent grains with 10-25% chalkiness","float","","Chalkiness of the endosperm","CO_320:0000104","Percent grains with 10-25% chalky areas","","","","","","1308","1408"
"observation","PMR_PERC","PERCENT MILLED RICE","Percent milled rice","float","","MILLED RICE","CO_320:0000112","rate milled rice. express in percentage.","","","percent","","","532","1407"
"observation","WMR_CONT","WMR CONT","Milled Rice Weight","float","","Milled Rice Weight","","Weight (g) of milled rice","","","","","","1318","1407"
"observation","WHDR_CONT","WHDR CONT","Head Rice weight","float","","Head Rice weight","","Weight (g) of head rice","","","","","","1319","1407"
"observation","CLK_PERC","CLK PERC","Overall Percent Chalkiness","float","","Chalkiness of the endosperm","CO_320:0000104","Overall Percent chalkiness","","","","","","1306","1407"
"observation","HDR_PERC","HDR PERC","HEAD RICE","float","","HEAD RICE","CO_320:0000108","Expressed in percent.
Average length of kernels computed from 10 randomly selected whole kernels. 8/10th of the average length is the minimum length for head rice. All kernels with length equal to or more than this value are considered head rice. ","","CO_320:0000471","percent","CO_320:0000472","","531","1407"
"observation","CLK_25_50_PERC","CLK 25-50 PERC","Percent grains with 25-50% chalkiness","float","","Chalkiness of the endosperm","CO_320:0000104","Percent grains with 25-50% chalky areas","","","","","","1309","1372"
"observation","CLK_SCOR_0_9","CLK 0_9","Chalkiness of endosperm","integer","CO_320:0000104","Chalkiness of the endosperm","CO_320:0000104","Evaluate a representative milled sample for the degree (extent) of chalkiness that will best describe the sample with respect to (a) white belly, (b) white center, (c) white back.\n\nAt growth stage: Mature grain. [SES:124]","","CO_320:0000428","","CO_320:0000429","0: 0%; 1: less than 10%; 5: 11% to 20%; 9: more than 20%","55","1356"
"observation","CLK_50_75_PERC","CLK 50-75 PERC","Percent grains with 50-75% chalkiness","float","","Chalkiness of the endosperm","CO_320:0000104","Percent grains with 50-75% chalky areas","","","","","","1310","1354"
"observation","CLK_GT_75_PERC","CLK GT 75 PERC","Percent grains with more than 75% chalkiness","float","","Chalkiness of the endosperm","CO_320:0000104","Percent grains with greater than 75% chalky areas","","","","","","1311","1288"
"observation","NBLS_CAT_2","NBLS 0-9","Narrow brown leaf spot","integer","CO_320:0000345","Narrow brown leaf spot","CO_320:0000182","","","CO_320:0000344","","CO_320:0000345","0: No disease observed; 1: Less than 1%; 3: 1-5%; 5: 6-25%; 7: 26-50%; 9: 51-100%","185","1272"
"observation","HVHILL_INNER","HVHILL_Inner","Number Of Hills Harvested for Inner harvest","integer","","harvested hill","","Count the number of hills harvested from the inner plot","","","","","","2131","1231"
"observation","LR2_SCOR_1_9","LR2","leaf roll 2","integer","","leaf roll 2","","At vegetative stage, record leaf roll reading 2","","","","","1: open; 3: cup shaped; 5: almost o shaped; 7: closed shaped; 9: completely rolled","402","1178"
"observation","SFT_SCOR_1_9","SFT 1-9","Stagnant flooding tolerant 1-9","integer","","Stagnant flooding tolerant ","","","","","","","1: Excellent; 3: Very good; 5: Good; 7: Poor; 9: Very poor","761","1113"
"observation","AG_SCOR_1_9_14DAS","AG 1-9 14DAS","Anaerobic germination 14DAS","integer","","Anaerobic germination","","Germination ability of breeding lines after flooding","","","","","1: 90 to 100% germination; 3: 75 - 89%; 5: 50-74%; 7: 25-49%; 9: 0-24%","2143","1110"
"observation","GRNWT_PAN_CONT","GRNWT PAN","Grain Weight Per Panicle","float","","Grain yield 2","","Record weight of grain yield per panicle, expressed in grams.","","","grams","","","716","1094"
"observation","BB_FLD_SCOR_1_9","BB FLD 1-9","Bacterial blight - Field","integer","","Bacterial blight","CO_320:0000173","NOTE: In both seedling and field tests, folded young leaves should not be inoculated. Old or leaves with symptom of nutrient deficiency or other diseases should also be avoided for inoculation.","","","","","1: 1-5%; 3: 6-12%; 5: 13-25%; 7: 26-50%; 9: 51-100%","1209","1087"
"observation","OFFTPS","OFFTPS","OFFTPS","integer","","OFFTPS","","","","","","","","1884","1057"
"observation","UNF1_CONT","UNFILLED GRAINS OF 1ST SAMPLE","Unfilled grains of 1st sample","integer","","unfilled grain","CO_320:0000012","unfilled grains of panicle sample 1 were counted manually","","","","","","1816","1047"
"observation","GELT_SCOR_CHAR","GELT","gelatinization temperature","character varying","CO_320:0000107","gelatinization temperature","CO_320:0000107","Place six milled-rice kernels in 10 ml 1.7% KOH in a shallow container and arrange them so that they do not touch. Let it stand for 23 hours at 30 C and score for spreading. [CO]","","CO_320:0000457","","CO_320:0000458","H: High; H/HI: High/High-intermediate; HI: High-intermediate; H/L: High/Low; HI/I: High-intermediate/Intermediate; HI/I/L: High-intermediate/Intermediate/Low; HI/L: High-intermediate/Low; I: Intermediate; I/L: Intermediate/Low; L: Low; S: Segregating","122","1043"
"observation","GELC_PERC","GELC PERC","percent gel consistency","float","","Gel consistency","CO_320:0000106","percent gel consistency","","CO_320:0000244","","CO_320:0000245","","118","1043"
"observation","OTS","OT/Seg","off types or mixtures or segregation","character varying","","days to flowering","CO_320:0000083","Field note observations made by breeder or scientists for OYT, PYT and AYT trials under IRSEA program","","","","","x: noticeable but not so much mixtures; 7: bad mixture; 9: very bad mixed plot; R: needs rouging","1570","1033"
"observation","HV_AREA_SQM_INNER","HV AREA SQM_INNER","Harvest Area in sqm for inner","float","","HARVEST","","Harvest Area in sqm","","","","","","2142","1020"
"observation","AYLD_INNER","AYLD_Inner","Actual plot yield in grams from inner harvest","float","","Grain yield 2","","Record the actual grain yield from plants harvested from the inner plot","","","","","","2133","1018"
"observation","GW_CONT_GR","GW-100 GM","100-grain weight","float","CO_320:0000165","100-grain weight","CO_320:0000165","100 well-developed whole grains, dried to 14% moisture content, weighed on a precision balance","","","Grams","","","1171","1008"
"observation","AYLD_CONT_ADJ_MEAN","AYLD_CONT_ADJ_MEAN","Actual grain yield in grams per plot","float","","Grain yield 2","","Predicted Mean for AYLD_CONT","","","grams per plot","","","1371","998"
"observation","PAN_CROSS","Panicle number","number of emasculated panicle","integer","","Number of panicles","CO_320:0000009","Count the number of emasculated panicle (number of females)","","","","","","1960","968"
